"","Date","Price","Volume"
"287","2016-10-12",635.599976,16387361
"288","2016-10-13",637.919983,20114873
"289","2016-10-14",637.030029,7970927
"290","2016-10-15",640.119995,8306925
"291","2016-10-16",637.369995,17742610
"292","2016-10-17",635.340027,15725013
"293","2016-10-18",629.059998,22379197
"294","2016-10-19",628.340027,13252110
"295","2016-10-20",630.450012,17836383
"296","2016-10-21",655.47998,24154228
"297","2016-10-22",653.030029,14418212
"298","2016-10-23",650.48999,21726106
"299","2016-10-24",651,24179462
"300","2016-10-25",674.669983,31949607
"301","2016-10-26",682.299988,31862181
"302","2016-10-27",686.23999,26829414
"303","2016-10-28",714.950012,38351348
"304","2016-10-29",697.27002,27793236
"305","2016-10-31",698.669983,26687188
"306","2016-11-01",726.76001,49453950
"307","2016-11-02",733.51001,28452232
"308","2016-11-03",684.869995,69067917
"309","2016-11-04",702.080017,33762721
"310","2016-11-05",702.109985,15554565
"311","2016-11-06",709.909973,18363567
"312","2016-11-07",705.400024,21797370
"313","2016-11-08",710.900024,28262235
"314","2016-11-09",721.419983,51548567
"315","2016-11-10",714.570007,23931322
"316","2016-11-11",714.969971,18386841
"317","2016-11-12",704.27002,19677656
"318","2016-11-13",701.969971,25249834
"319","2016-11-14",704.559998,26613445
"320","2016-11-15",711.099976,29562740
"321","2016-11-16",740.280029,58304902
"322","2016-11-17",737.530029,46942756
"323","2016-11-18",746.960022,29666065
"324","2016-11-19",747.890015,19276573
"325","2016-11-20",728.51001,34876785
"326","2016-11-21",736.190002,24010681
"327","2016-11-22",749.340027,33225195
"328","2016-11-23",741.070007,28258203
"329","2016-11-24",735.309998,27531777
"330","2016-11-25",740.390015,21299510
"331","2016-11-26",734.140015,16682481
"332","2016-11-27",729.419983,15735824
"333","2016-11-28",733.299988,25153838
"334","2016-11-29",732.559998,24030304
"335","2016-11-30",742.48999,29210351
"336","2016-12-01",752.630005,40690942
"337","2016-12-02",770.940002,48893613
"338","2016-12-03",764.23999,30234128
"339","2016-12-04",766.390015,14755120
"340","2016-12-05",754.340027,39082688
"341","2016-12-06",758.210022,25497771
"342","2016-12-07",765.559998,26755412
"343","2016-12-08",768.48999,22208497
"344","2016-12-09",770.47998,18722048
"345","2016-12-10",774,14049110
"346","2016-12-11",767.909973,13269086
"347","2016-12-12",778.469971,22442991
"348","2016-12-13",778.73999,25894856
"349","2016-12-14",776.5,19326375
"350","2016-12-15",775.210022,20452116
"351","2016-12-16",782.049988,21650384
"352","2016-12-17",787.169983,18648778
"353","2016-12-18",789.01001,11525747
"354","2016-12-19",789.789978,20238681
"355","2016-12-20",799.099976,27406319
"356","2016-12-21",829.210022,53411082
"357","2016-12-22",860.150024,60511618
"358","2016-12-23",917.169983,91802931
"359","2016-12-24",891.070007,41576781
"360","2016-12-25",891.070007,37173377
"361","2016-12-26",898.380005,35002753
"362","2016-12-27",925.780029,45966615
"363","2016-12-28",972.169983,73811803
"364","2016-12-29",971.080017,59226667
"365","2016-12-30",959.039978,67449149
"366","2016-12-31",963.380005,26379401
"367","2017-01-01",995.440002,40570922
"368","2017-01-02",1017.049988,66038073
"369","2017-01-03",1033.300049,56085870
"370","2017-01-04",1135.410034,170584623
"371","2017-01-05",989.349976,244839289
"372","2017-01-06",886.159973,179160668
"373","2017-01-07",888.869995,113037531
"374","2017-01-08",900.859985,70298340
"375","2017-01-09",899.780029,55963281
"376","2017-01-10",904.369995,48644106
"377","2017-01-11",785.429993,160194109
"378","2017-01-12",810.109985,93986701
"379","2017-01-13",824.830017,72555875
"380","2017-01-14",819.630005,36594482
"381","2017-01-15",821.169983,20004735
"382","2017-01-16",827.340027,27592899
